,date,news,score
47,2022-01-04 15:21:40,"3 must-watch investing thematics for 2022: Web3, EVs & cybersecurityIn this episode of The Australian Investors Podcast, Owen and Anirban identify 3 investing thematics for 2022: web3, electric vehicles & cybersecurity. 
",20
48,2022-01-04 16:30:52,"VIZIO’s New M-Series Quantum X 4K HDR Gaming Smart TV and M-Series Elevate Sound Bar Named CES 2022 Innovation Awards HonoreesVIZIO was named a CES 2022 Innovation Awards Honoree for its new M-Series Quantum X 4K HDR Gaming Smart TV and M-Series Elevate Sound Bar.
",25
49,2022-01-04 17:07:49,"Apple App Store Revenue Growth Slowed in December: EvercoreBy Sam Boughedda
",75
50,2022-01-04 19:00:40,"2022 LG OLED TV lineup includes massive 97″ 8K modelLG has debuted its OLED TV lineup for 2022 with a number of improvements and new features. The Korean company continues to offer its OLED TVs in two product lines: the high-end G2 series and the mo…
",85
51,2022-01-04 21:27:32,"Tyro Payments (ASX:TYR) appoints two new board membersTyro Payments (ASX:TYR) has appointed Claire Hatton and Shefali Roy to its Board of Directors, effective immediately.
",65
52,2022-01-05 00:07:54,"Sony looks to electric cars for its next big hitJapan’s Sony Group Corp plans to launch a company this spring to examine entering the electric vehicle market, looking to harness its strengths in…
",65
53,2022-01-05 03:47:13,"2022 Will Be A Good Year For Intel & AMDIt's going to be a good year for gamers and power users.
",40
54,2022-01-05 06:10:56,"Fisker Stock Looks Better in the Long Term After Its Recent RallyFSR stock is worth accumulating slowly over the next few years as its partnerships solidify and the Ocean keeps up the buzz.
",70
55,2022-01-05 07:20:40,"In 2022, Metaverse Stocks Will Get the ‘EV Treatment’As costs fell and supply expanded, a lot of us bought an electric vehicle for the first time ever last year. So Wall Street realized EVs were the future, and EV stocks soared. The same thing will happen to metaverse stocks in 2022.
",85
56,2022-01-05 08:36:26,"CEBCF Stock Forecast, Price & News (China Everbright Bank)Exploring China Everbright Bank (OTC:CEBCF) stock? View CEBCF's stock price, price target, earnings, forecast, insider trades, and news at MarketBeat.
",78
57,2022-01-05 09:30:23,"Elo Mutual Pension Insurance Co Trims Stock Holdings in Apple Inc. (NASDAQ:AAPL)Elo Mutual Pension Insurance Co reduced its holdings in Apple Inc. (NASDAQ:AAPL) by 1.0% during the third quarter, according to the company in its most recent filing with the SEC. The fund owned 1,164,004 shares of the iPhone maker’s stock after selling 11,259 shares during the quarter. Apple makes up 5.3% of Elo Mutual Pension […]
",45
58,2022-01-05 10:18:50,"Games Pioneer Nexon Makes Significant Minority Investment in Russo Brothers’ AGBO to Drive Expansion of Nexon’s Global Intellectual Property in Film and TelevisionNEXON Co., Ltd. (Nexon) (3659.TO), a global leader in Virtual World games, has made a strategic minority investment of $400 million in AGBO, the artis
",65
59,2022-01-05 11:01:59,"Smartphone Accessories: JETech iPhone 13 Clear Case $7.50 (Reg. $11), moreJE Products US (100% positive lifetime feedback) via Amazon is offering the JETech iPhone 13 Clear Case for $7.64 with free shipping for Prime members or in orders over $25. For comparison, other colors of this exact case sell for up to $11 right now and today’s deal marks a return to the all-time low…
",25
60,2022-01-05 11:50:27,"Carl Icahn's $40 Billion Missed OpportunityGuruFocus Article or News written by Rupert Hargreaves and the topic is about: The billionaire investor sold Apple too early
",85
61,2022-01-05 12:20:54,"Still dancing to mega tech's beat, markets wary of tech tantrum: McGeeverApple's $3 trillion market cap landmark underscores the influence Big Tech holds over U.S. stock indices - but also the vulnerability of passive investors to any lurch lower of the leading lights of the sector.
",85
62,2022-01-05 13:09:36,"Belkin adds Find My tech and beamforming ANC on new earbuds to take on Apple, now 20% offThe new Belkin Find My earbuds are the latest addition to the brand’s SOUNDFORM lineup of audio gear with advanced noise-canceling tech.
",65
63,2022-01-05 14:14:23,"Ring in the new year with the best video doorbells from CES 2022Three new video doorbells coming this year
",25
64,2022-01-05 15:18:22,"Amazon was the worst-performing FAANG stock of 2021 — here's whyAmazon's stock climbed a meager 2.4% in 2021, vastly underperforming its Big Tech peers.
",85
65,2022-01-05 16:58:58,"Today's Best Deals: Savings You Won't Want to MissWelcome to Deals of Note, where Gear Patrol captures all the best deals of the day. You can also follow all our deal posts in the Deals section.
",42
66,2022-01-05 19:13:42,"Nexon invests $400M in Russo brothers’ film company at $1.1B valuationNexon has invested $400 million in AGBO, a film and entertainment company created by Avengers directors Anthony and Joe Russo.
",75
67,2022-01-06 01:09:20,"This new Android phone can actually change colors — here's howThe Vivo V23 and V23 Pro can change color via 'Fluorite AG Glass'
",85
68,2022-01-06 04:35:28,"Economies Have Adapted to a World Where Covid Calls the Shots
",65
69,2022-01-06 07:06:40,"5G Moves Much Faster Than the Aviation Industry
",85
70,2022-01-06 07:43:41,"My Top Web 3.0 Stocks to Buy and Hold in 2022The next generation of the internet is coming, and these companies are built to lead the way.
",85
71,2022-01-06 08:18:28,"CES 2022 Day 4 news live - BMW, GM, Samsung, Sony, LG and moreTodos los últimos anuncios del CES 2022: televisores, auriculares, teléfonos, coches y gadgets de todo tipo
",85
72,2022-01-06 09:17:54,"MasterClass Announces Class on Poetic Thinking With U.S. Poet Laureate Joy HarjoTeaches members how to find light in the darkness, unlock their innate creativity and gain the inspiration to explore unique artistic styles
",20
73,2022-01-06 10:18:45,"Today’s best Mac and iOS app deals: Starman, Chicken Police, SkySafari 6 Pro, moreWe are now ready to collect all of Thursday’s best Mac and iOS app deals into one convenient place. Just remember to check out this morning price drop on Apple’s latest iPad Air as well as this new all-time low on AirPods Max headphones at $400. Today’s app deals are headlined by titles like Chicken…
",65
74,2022-01-06 10:53:46,"Kokoon Nightbuds now use AI to help manage your sound sleep betterThere is a huge market for tech dedicated to helping you sleep better. There is no dearth of products like smart beds (like Sleep Number) or smart mattresses (like the 3D Matrix from Ghost SmartBed…
",85
75,2022-01-06 12:06:15,"The Open' Full Show (01/06/2022)
",42
76,2022-01-06 13:15:33,"Sony Signs Overall Deal With Writer-Producers Eduardo Cisneros & Jason ShumanEXCLUSIVE: Sony Pictures Entertainment has signed an overall deal with the writing and producing team of Eduardo Cisneros and Jason Shuman under their new production arm, RaqMar Entertainment. The …
",65
77,2022-01-06 13:54:46,"LIVE MARKETS Omicron hurting spending, for nowWelcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at markets.research@thomsonreuters.com
",78
78,2022-01-06 15:32:15,"Wansview's 1080p webcam upgrades your WFH Zoom meeting setup for $21 on AmazonSmartcloud-US (95% positive lifetime feedback) via Amazon is offering the Wansview 1080p USB Webcam for $20.99 with free shipping for Prime members or in orders over $25. Simply use the code 30WANSVIEW at checkout to redeem the discounted price. This is down $9 from its normal going rate and marks one of the best prices…
",78
79,2022-01-06 16:50:26,"Garmin (GRMN) Boosts Fitness Tracking Efforts with New WatchGarmin (GRMN) rolls out a GPS smartwatch called Venu 2 Plus to expand its offerings in the fitness tracker market.
",65
80,2022-01-06 17:59:22,"5 Tech Stocks Most Bought by Gurus in the 3rd QuarterGuruFocus Article or News written by James Li and the topic is about: Tech shares dip to start the new year
",30
81,2022-01-06 21:52:37,"ASX Small Cap Lunch Wrap: Who’s launching a new twist on an old classic today?The biggest small cap winner today was a tie between Amani Gold (ASX:ANL) and Javelin Minerals (ASX:JAV) both up 50% on no news.
",85
82,2022-01-07 02:12:44,"Apple iPhone Reboot Malware Enables Fake Shutdown To Spy On UsersFaking a reboot to survive the shutdown! This malware is something else.
",85
83,2022-01-07 05:06:39,"The iPhone SE 3 design isn't changing — but it will have one thing the iPhone 13 doesn'tIt's the price, not the design, that makes the iPhone SE so appealing
",35
84,2022-01-07 07:01:25,"Apple CEO receives around $100M in compensation in 2021 - WSJApple (AAPL) CEO Tim Cook received almost $100M in compensation in 2021, source WSJ.In 2021, Cook completed 10 years as the company's chief and led the iPhone maker to...
",85
85,2022-01-07 07:29:30,"Bubble Trouble as Rivian Is Latest High Flyer to Pop
",85
86,2022-01-07 08:49:19,"Here are Friday's biggest analyst calls of the day: Amazon, Lyft, Uber, Delta Air Lines, Nvidia & moreHere are the biggest calls on Wall Street on Friday.
",78
87,2022-01-07 09:30:29,"US equity funds receive inflows in the week to Jan 5U.S. equity funds received large inflows for a third straight week in the seven days to Jan. 5, although the rate of buying slowed as Federal Reserve minutes raised expectations interest rates would rise more quickly than previously thought.
",70
88,2022-01-07 10:34:36,"The Capitalist Manifesto: If Apple was a Chinese company, jealous bureaucrats would have brought it down ages agoOpinion: Dictators believe they can successfully combine authoritarianism with modern capitalism. They are wrong
",85
89,2022-01-07 11:37:33,"Why Snap Stock Lost 6% in 2021Weak guidance for the fourth quarter ultimately sank the fast-growing tech stock.
",85
90,2022-01-07 12:49:12,"Crestwood Advisors Group LLC Trims Stock Position in Apple Inc. (NASDAQ:AAPL)Crestwood Advisors Group LLC lessened its holdings in Apple Inc. (NASDAQ:AAPL) by 2.4% during the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 1,514,858 shares of the iPhone maker’s stock after selling 36,706 shares during the quarter. Apple makes up approximately 6.1% of Crestwood Advisors Group […]
",25
91,2022-01-07 13:45:45,"QuickTake ""Take Stock"" Full Show (01/07/2021)
",85
92,2022-01-07 14:44:25,"Buy one iPhone 13 and get one free at VerizonGet a free iPhone 13 at Verizon
",50
93,2022-01-07 16:43:39,"Tim Cook earned over 1,400 times the average Apple employee in 2021The median pay for employees was US$68,254, while Cook earned a total of nearly US$100 million
",90
94,2022-01-07 22:09:19,"SNAP CLASS ACTION NOTICE: Glancy Prongay & Murray LLP Files Securities Fraud Lawsuit Against Snap Inc.Glancy Prongay & Murray LLP (“GPM”), announces that it has filed a class action lawsuit in the United States District Court for the Central Distri
",85
95,2022-01-08 05:34:22,"Several iPhone Fold prototypes are rumored to be in developmentBut don't expect a launch soon
",20
96,2022-01-08 08:33:22,"How to stop apps from opening on startup on Windows and MacSome apps insist on starting with your OS. Here’s how to stop them
",50
97,2022-01-08 12:15:38,"Best of CES 2022: These are the most exciting new productsOur favorite innovations from CES 2022
",37
98,2022-01-08 18:24:31,"Warren Buffett Moves Up The Top 10 Billionaires List As Berkshire Hathaway Hits All-Time HighsLast year saw Tesla Inc (NASDAQ: TSLA) CEO Elon Musk climb up the Bloomberg Billionaires Index with the rising valuations for Tesla and SpaceX. Early into 2022, only one name...
",35
99,2022-01-09 05:35:40,"CES 2022 gave us a peek at our foldable laptop future – and I can’t waitGoodbye, clamshell!
",65
100,2022-01-09 08:52:27,"Barnett & Company Inc. Sells 451 Shares of Apple Inc. (NASDAQ:AAPL)Barnett & Company Inc. cut its holdings in shares of Apple Inc. (NASDAQ:AAPL) by 8.8% in the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 4,660 shares of the iPhone maker’s stock after selling 451 shares during the period. Barnett & Company Inc.’s holdings in […]
",25
101,2022-01-09 11:38:32,"The cheapest Sonos speakers are now even better valueSonos is widely regarded as one of the pioneers of wireless home speakers. As one of the trailblazers, the company has developed numerous patents regarding wireless speaker connectivity (as Google …
",20
102,2022-01-09 17:47:53,"Breaking Down 2022: Riding The WavesNearly two years into the pandemic, patterns are emerging and certain economic outcomes tend to follow, which can help investors navigate in otherwise uncertain times. The dominant theme – global inflation – will surely be a central force in 2022.
",70
103,2022-01-10 01:22:36,"TSMC Sales Set Sixth Quarterly Record on Elevated Chip Demand
",25
104,2022-01-10 04:16:27,"A Top Antitrust Lawyer on How Increased Competition Could Fight Inflation
",35
105,2022-01-10 06:02:54,"iPhone SE 3 just tipped for next big Apple EventPrepare for the iPhone SE 3 to appear in March or April
",40
106,2022-01-10 06:38:10,"D. Scott Neal Inc. Grows Stock Holdings in Apple Inc. (NASDAQ:AAPL)D. Scott Neal Inc. lifted its position in shares of Apple Inc. (NASDAQ:AAPL) by 9.7% in the 3rd quarter, Holdings Channel.com reports. The firm owned 2,430 shares of the iPhone maker’s stock after purchasing an additional 215 shares during the period. D. Scott Neal Inc.’s holdings in Apple were worth $344,000 as of its most […]
",45
107,2022-01-10 07:11:33,"81,576 Shares in Zynga Inc. (NASDAQ:ZNGA) Bought by BI Asset Management Fondsmaeglerselskab A SBI Asset Management Fondsmaeglerselskab A S bought a new position in Zynga Inc. (NASDAQ:ZNGA) in the third quarter, according to the company in its most recent 13F filing with the SEC. The firm bought 81,576 shares of the company’s stock, valued at approximately $614,000. A number of other hedge funds have also recently modified their […]
",85
108,2022-01-10 08:20:57,"Apple AirTags see rare discount down to $23 each when you buy fourToday only, Woot is offering a 4-pack of Apple AirTags for $93.99 with free shipping for Prime members. A $6 delivery fee will apply otherwise. Normally fetching $99, today’s offer is the first discount we’ve seen since back on Cyber Monday and drops the price of each item finder down to $23. Apple’s first take…
",45
109,2022-01-10 08:55:52,"Pair your Apple Watch with this genuine leather band at just $8.50 (Save 22%)Marge Plus (98% positive all-time feedback from 2,100+) via Amazon offers its Leather Apple Watch Band for $8.49 with free shipping for Prime members or in orders over $25. Normally fetching $11, you’re looking at 23% in savings alongside the best price in well over a year at $1 under previous mentions. Compatible with the…
",65
110,2022-01-10 09:21:37,"TurbineOne Raises $3 Million to Deliver to Ground Forces the Information They Need to Navigate Dangerous EnvironmentsTurbineOne, the frontline perception company, dedicated to empowering first responders and warfighters with the world’s best technology, today announc
",85
111,2022-01-10 09:45:05,"Thinking about trading options or stock in BioMarin Pharmaceutical, Dell Technologies, Apple, ConocoPhillips, or Kroger?Thinking about trading options or stock in BioMarin Pharmaceutical, Dell Technologies, Apple, ConocoPhillips, or Kroger?
", 20
112,2022-01-10 10:46:38,"Razer's Kishi iPhone controller grip upgrades Apple Arcade at $80, Android model at $55Amazon is currently offering the Razer Kishi Mobile Game Controller for iPhone at $79.99 shipped. Down from $100, you’re looking at the third-best price to date alongside 20% in savings and the lowest price in months. The Android version is also on sale for $54.99, down from $80. Whether you’re looking to step up the Apple Arcade experience or…
",65
113,2022-01-10 11:32:37,"Alphabet (GOOGL) to Bring New YouTube Music Feature to Wear OSAlphabet's (GOOGL) Google is gearing up to add a home screen tile to the YouTube Music app for Wear OS, per reports.
",65
114,2022-01-10 12:43:06,"The notch-free iPhone 14 could look just like thisA mock-up shows an iPhone 14 with a pill-shaped camera cutout replacing the notch
",75
115,2022-01-10 13:08:35,"Apple implies it generated record revenue from the App Store during 2021Apple said Monday that it paid developers $60 billion in 2021, a figure that suggests that App Store sales continue to grow at a rapid clip.
",20
116,2022-01-10 13:55:31,"ASX set to fall as Wall Street’s tech woe continuesWall Street has kicked off the new week with more losses, with tech companies again leading the way down.
",85
117,2022-01-10 15:04:12,"Sheppard Mullin Expands Tech Transactions Expertise in Digital Media, Tech and AdvertisingSheppard, Mullin, Richter & Hampton LLP is pleased to announce that Marisa Brutoco has joined the firm as a partner in the Entertainment, Technolo
",78
118,2022-01-10 16:34:56,"Today's Best Deals: Savings You Won't Want to MissWelcome to Deals of Note, where Gear Patrol captures all the best deals of the day. You can also follow all our deal posts in the Deals section.
",42
119,2022-01-10 18:02:27,"Facebook delays return to office until March, Covid-19 boosters requiredThe Menlo Park, California-based company previously planned to fully reopen offices for vaccinated employees on Jan. 31. 
",40
120,2022-01-10 23:03:25,"We Should Assume That The Tesla Phone Is A MythI wasn't going to write up an article about the so-called Tesla ""Pi"" phone, but I received a message from one of my friends who saw a video on TikTok about it. They wanted to
",78
121,2022-01-11 01:45:36,"Apple submits plans to allow alternative payment systems in S.Korea - regulatorSEOUL — South Korea’s telecommunications regulator said on Tuesday that Apple had submitted plans to allow third-party payment systems on its app store, to…
",25
122,2022-01-11 04:21:26,"Dealmakers Face Regulatory Reckoning From EU After Buying Spree
",85
123,2022-01-11 05:28:05,"According to Garmin, the workout trends of 2021 were yoga, pilates – and lots of mudInteresting results from Garmin's latest fitness report
",35
124,2022-01-11 06:08:55,"Signs Point to ContextLogic’s Sales Slide Extending Into DecemberInvestors in troubled e-commerce play WISH stock should brace for another quarter of double-digit revenue declines when the ContextLogic reports Q4 2021 earnings results in March.
",85
125,2022-01-11 06:53:15,"DGRW: First-Class Dividend QualityWisdomTree U.S. Dividend Growth ETF (DGRW) follows a strategy based on dividends, earnings growth and profitability. Read more about DGRW ETF here.
",72
126,2022-01-11 07:41:36,"Here are dozens of ‘cheap’ stocks that could be poised to outperform as U.S. rates start to riseOur call of the day from Lori Calvasina at RBC Capital Markets has a few ideas on where investors need to look for stocks to invest in as rates begin to rise.
",78
127,2022-01-11 08:28:38,"There’s one area Microsoft is beating Apple – with right to repairMicrosoft’s repairable Surface Laptop SE should put pressure on Apple
",75
128,2022-01-11 09:19:18,"GlobalWafers Said to Near China Approval for Siltronic Deal
",65
129,2022-01-11 10:11:17,"Nvidia and Arm fight back as U.K. competition regulator considers blocking dealThe semiconductor giants submitted a document to the U.K. regulator explaining why the deal should be permitted to go ahead. 
",40
130,2022-01-11 11:24:59,"9 ways Warren Buffett's frugal habits can help you save money like a billionaireThe uber-wealthy investor is thrifty with everything from his breakfast to his house
",20
131,2022-01-11 12:26:09,"Index evidence BetterInvesting members learn how to invest successfullyBetterInvesting members identify stocks for long-term growth
",20
132,2022-01-11 13:10:51,"Why Nvidia Stock Just PoppedNvidia tries to bring its Arm merger back to life.
",85
133,2022-01-11 14:32:39,"Wall Street bounces as Powell's testimony brings some reliefU.S. stock indexes were gaining ground on Tuesday with Nasdaq leading the advance as investors appeared relieved that Federal Reserve Chair Jerome Powell’s…
",35
134,2022-01-11 15:49:54,"eToro’s weekly Nasdaq focus: 2022 markets outlook, as bond yields rise and volatility jumpsJosh Gilbert – market analyst at global invetment platform eToro – gives investors the scoop on all things Nasdaq-related.
",85
135,2022-01-11 17:34:32,"Steve Jobs Told Zynga In-App Purchases Were 'Stupid.' 15 Years Later, The 'FarmVille' Creator Lands Biggest Video Game Deal Ever.One of the biggest news items of the early new year Take-Two Interactive Software, Inc.'s (NASDAQ: TTWO) $12.7-billion acquisition of Zynga Inc (NASDAQ: ZNGA).
",85
136,2022-01-11 21:08:43,"Leafly and Merida Merger Corp. I Announce $30M Convertible Note FinancingLeafly and Merida Merger Corp. I Announce $30M convertible note financing
",75
137,2022-01-12 01:27:28,"Time to buy: Retail investors swoop in when stocks falterU.S. retail investors have been dip-buyers so far in 2022, snapping up equities that funds have shed from their portfolios in light of a more hawkish Federal Reserve, but with a focus on quality stocks as opposed to speculative names.
",35
